month,vertical,category_name,dau,dau_w_adview,dau_w_lead
2020-01-01,GEN,Bags,58847,58231,50530
2020-01-01,GEN,Shoes,72593,70828,51557
2020-01-01,GEN,Watch,78422,75945,52067
2020-01-01,GEN,Clothes,69121,67464,51267
2020-01-01,GEN,Perfume,53681,53140,50256
2020-01-01,ELT,Tablets,90675,84382,53400
2020-01-01,ELT,Mobile Phones,295307,258604,87973
2020-01-01,GEN,Other accessories,64277,63316,50863
2020-01-01,ELT,"Computers, Laptops",90562,86044,53363
2020-01-01,ELT,"Cameras, Video Cameras",75126,71438,52009
2020-01-01,ELT,"TV, Speakers, MP3 players",182182,170543,65626
2020-02-01,GEN,Bags,60609,59893,50599
2020-02-01,GEN,Shoes,71969,70256,51493
2020-02-01,GEN,Watch,83306,80429,52613
2020-02-01,GEN,Clothes,69902,68104,51236
2020-02-01,GEN,Perfume,54358,53723,50324
2020-02-01,ELT,Tablets,103587,94845,55049
2020-02-01,ELT,Mobile Phones,356041,309518,100132
2020-02-01,GEN,Other accessories,71152,69814,51757
2020-02-01,ELT,"Computers, Laptops",110291,103920,55390
2020-02-01,ELT,"Cameras, Video Cameras",81539,76990,52495
2020-02-01,ELT,"TV, Speakers, MP3 players",206116,192797,68722
2020-03-01,GEN,Bags,60100,59440,50562
2020-03-01,GEN,Shoes,71075,69381,51380
2020-03-01,GEN,Watch,84264,81213,52585
2020-03-01,GEN,Clothes,70093,68288,51203
2020-03-01,GEN,Perfume,54461,53868,50340
2020-03-01,ELT,Tablets,105503,95865,55292
2020-03-01,ELT,Mobile Phones,339944,296497,96413
2020-03-01,GEN,Other accessories,75189,73130,51948
2020-03-01,ELT,"Computers, Laptops",115197,108169,56028
2020-03-01,ELT,"Cameras, Video Cameras",80933,76540,52297
2020-03-01,ELT,"TV, Speakers, MP3 players",211957,198193,69419
2020-04-01,GEN,Bags,58836,58273,50458
2020-04-01,GEN,Shoes,69763,68305,51158
2020-04-01,GEN,Watch,81730,79106,52348
2020-04-01,GEN,Clothes,69615,67837,51118
2020-04-01,GEN,Perfume,53415,52899,50253
2020-04-01,ELT,Tablets,113461,102691,56334
2020-04-01,ELT,Mobile Phones,326824,285804,93536
2020-04-01,GEN,Other accessories,70568,69212,51281
2020-04-01,ELT,"Computers, Laptops",124457,116152,57357
2020-04-01,ELT,"Cameras, Video Cameras",80035,75885,52096
2020-04-01,ELT,"TV, Speakers, MP3 players",214730,200928,69520
2020-05-01,GEN,Bags,58693,58066,50469
2020-05-01,GEN,Shoes,68644,67055,51214
2020-05-01,GEN,Watch,77154,74689,52009
2020-05-01,GEN,Clothes,69331,67505,51246
2020-05-01,GEN,Perfume,52841,52354,50211
2020-05-01,ELT,Tablets,101522,93153,54724
2020-05-01,ELT,Mobile Phones,312165,271289,90769
2020-05-01,GEN,Other accessories,67013,65993,51128
2020-05-01,ELT,"Computers, Laptops",107409,100961,55430
2020-05-01,ELT,"Cameras, Video Cameras",76576,72619,51958
2020-05-01,ELT,"TV, Speakers, MP3 players",190208,178032,66121
2020-06-01,GEN,Bags,59397,58742,50570
2020-06-01,GEN,Shoes,68684,67156,51346
2020-06-01,GEN,Watch,78121,75694,52188
2020-06-01,GEN,Clothes,69382,67651,51374
2020-06-01,GEN,Perfume,53143,52524,50208
2020-06-01,ELT,Tablets,98764,90556,54206
2020-06-01,ELT,Mobile Phones,315717,274589,91731
2020-06-01,GEN,Other accessories,66380,65328,51075
2020-06-01,ELT,"Computers, Laptops",106283,100195,55097
2020-06-01,ELT,"Cameras, Video Cameras",76227,72246,52047
2020-06-01,ELT,"TV, Speakers, MP3 players",186518,175355,65728
2020-07-01,GEN,Bags,60522,59690,50654
2020-07-01,GEN,Shoes,68578,67014,51350
2020-07-01,GEN,Watch,77964,75461,52196
2020-07-01,GEN,Clothes,68508,66774,51362
2020-07-01,GEN,Perfume,52949,52413,50210
2020-07-01,ELT,Tablets,98974,91337,54364
2020-07-01,ELT,Mobile Phones,314954,270958,92652
2020-07-01,GEN,Other accessories,67252,66134,51384
2020-07-01,ELT,"Computers, Laptops",105518,99450,55064
2020-07-01,ELT,"Cameras, Video Cameras",77234,72965,52143
2020-07-01,ELT,"TV, Speakers, MP3 players",169289,157170,63322
2020-08-01,GEN,Bags,60470,59752,50636
2020-08-01,GEN,Shoes,74811,73195,51730
2020-08-01,GEN,Watch,80456,77763,52488
2020-08-01,GEN,Clothes,69561,67791,51411
2020-08-01,GEN,Perfume,53330,52755,50241
2020-08-01,ELT,Tablets,104957,96201,55017
2020-08-01,ELT,Mobile Phones,348979,302518,96857
2020-08-01,GEN,Other accessories,69077,67939,51391
2020-08-01,ELT,"Computers, Laptops",111925,104941,55660
2020-08-01,ELT,"Cameras, Video Cameras",77721,73516,52144
2020-08-01,ELT,"TV, Speakers, MP3 players",181942,168741,64656
2020-09-01,GEN,Bags,60019,59304,50608
2020-09-01,GEN,Shoes,69300,67589,51439
2020-09-01,GEN,Watch,79674,77003,52449
2020-09-01,GEN,Clothes,68572,66781,51402
2020-09-01,GEN,Perfume,53281,52715,50242
2020-09-01,ELT,Tablets,102398,93682,54773
2020-09-01,ELT,Mobile Phones,337435,290423,94332
2020-09-01,GEN,Other accessories,67211,66117,51142
2020-09-01,ELT,"Computers, Laptops",111741,104653,55901
2020-09-01,ELT,"Cameras, Video Cameras",75946,71784,52038
2020-09-01,ELT,"TV, Speakers, MP3 players",176046,162839,64115
2020-10-01,GEN,Bags,59196,58479,50596
2020-10-01,GEN,Shoes,70598,68914,51643
2020-10-01,GEN,Watch,79094,76513,52451
2020-10-01,GEN,Clothes,70769,68920,51739
2020-10-01,GEN,Perfume,53429,52820,50246
2020-10-01,ELT,Tablets,99913,91822,54533
2020-10-01,ELT,Mobile Phones,322770,277882,92942
2020-10-01,GEN,Other accessories,68750,67699,51297
2020-10-01,ELT,"Computers, Laptops",109240,102341,55838
2020-10-01,ELT,"Cameras, Video Cameras",75910,71926,52064
2020-10-01,ELT,"TV, Speakers, MP3 players",168272,156200,63726
2020-11-01,GEN,Bags,58494,57820,50551
2020-11-01,GEN,Shoes,70500,68887,51659
2020-11-01,GEN,Watch,76897,74461,52233
2020-11-01,GEN,Clothes,69622,67914,51601
2020-11-01,GEN,Perfume,53305,52759,50268
2020-11-01,ELT,Tablets,96281,88482,54292
2020-11-01,ELT,Mobile Phones,322009,278648,92184
2020-11-01,GEN,Other accessories,68265,67314,51271
2020-11-01,ELT,"Computers, Laptops",106127,99731,55490
2020-11-01,ELT,"Cameras, Video Cameras",74996,70967,52092
2020-11-01,ELT,"TV, Speakers, MP3 players",164244,152225,63357
2020-12-01,GEN,Bags,58851,58354,50581
2020-12-01,GEN,Shoes,72214,70883,51904
2020-12-01,GEN,Watch,76418,74547,52256
2020-12-01,GEN,Clothes,70695,69269,51868
2020-12-01,GEN,Perfume,53378,52965,50296
2020-12-01,ELT,Tablets,92913,86885,54103
2020-12-01,ELT,Mobile Phones,322669,285276,91773
2020-12-01,GEN,Other accessories,67642,66920,51239
2020-12-01,ELT,"Computers, Laptops",102180,96568,55040
2020-12-01,ELT,"Cameras, Video Cameras",74277,70873,52130
2020-12-01,ELT,"TV, Speakers, MP3 players",164644,154371,63703
2021-01-01,GEN,Bags,59722,59160,50659
2021-01-01,GEN,Shoes,75635,74141,52303
2021-01-01,GEN,Watch,77461,75418,52274
2021-01-01,GEN,Clothes,73474,71877,52125
2021-01-01,GEN,Perfume,53726,53231,50297
