month,vertical,category_name,region_name,dau
2022-03-01,ELT,"Cameras, Video Cameras",Ha Noi,53577
2022-03-01,ELT,Tablets,Ha Noi,59050
2022-03-01,ELT,"TV, Speakers, MP3 players",Ha Noi,70525
2022-03-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,54674
2022-03-01,ELT,ELECTRONICS,Ha Noi,92678
2022-03-01,ELT,Mobile Phones,Ha Noi,97636
2022-03-01,GEN,Watch,Ha Noi,54305
2022-03-01,GEN,Bags,Ha Noi,51370
2022-03-01,GEN,Other accessories,Ha Noi,52700
2022-03-01,ELT,"Computers, Laptops",Ha Noi,62761
2022-02-01,GEN,Clothes,Ha Noi,53663
2022-02-01,GEN,Other accessories,Ha Noi,52464
2022-02-01,ELT,Mobile Phones,Ha Noi,93196
2022-02-01,ELT,"Cameras, Video Cameras",Ha Noi,53238
2022-02-01,ELT,Tablets,Ha Noi,57557
2022-02-01,GEN,Perfume,Ha Noi,50385
2022-02-01,GEN,Watch,Ha Noi,53772
2022-02-01,ELT,"TV, Speakers, MP3 players",Ha Noi,68887
2021-12-01,GEN,Watch,Ha Noi,54207
2021-12-01,GEN,Shoes,Ha Noi,54281
2021-12-01,ELT,"TV, Speakers, MP3 players",Ha Noi,72837
2021-12-01,ELT,ELECTRONICS,Ha Noi,93100
2021-12-01,GEN,Other accessories,Ha Noi,52572
2021-12-01,GEN,Clothes,Ha Noi,55478
2021-12-01,ELT,Mobile Phones,Ha Noi,97358
2022-01-01,GEN,Clothes,Ha Noi,55678
2022-01-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,54932
2022-01-01,GEN,Bags,Ha Noi,51426
2022-01-01,GEN,Other accessories,Ha Noi,52537
2022-01-01,ELT,Tablets,Ha Noi,57557
2022-04-01,ELT,Tablets,Ha Noi,57310
2022-04-01,GEN,Watch,Ha Noi,54110
2022-04-01,ELT,Mobile Phones,Ha Noi,94287
2022-04-01,ELT,"TV, Speakers, MP3 players",Ha Noi,68135
2022-04-01,ELT,"Computers, Laptops",Ha Noi,61012
2022-04-01,ELT,ELECTRONICS,Ha Noi,88494
2022-04-01,GEN,Bags,Ha Noi,51416
2022-04-01,GEN,Clothes,Ha Noi,53287
2022-05-01,ELT,"Computers, Laptops",Ha Noi,59839
2022-05-01,ELT,Tablets,Ha Noi,56457
2022-05-01,ELT,ELECTRONICS,Ha Noi,85589
2022-05-01,GEN,Other accessories,Ha Noi,52234
2022-05-01,GEN,Watch,Ha Noi,53959
2022-05-01,GEN,Bags,Ha Noi,51440
2022-05-01,GEN,Perfume,Ha Noi,50339
