month,vertical,Source,dau
2020-01-01,GEN,Email,50004
2020-01-01,GEN,Direct,216981
2020-01-01,GEN,Social,51476
2020-01-01,GEN,(Other),53090
2020-01-01,GEN,Display,52508
2020-01-01,GEN,Referral,55398
2020-01-01,GEN,Paid Search,75639
2020-01-01,GEN,Organic Search,161988
2020-01-01,ELT,Email,50004
2020-01-01,ELT,Direct,260420
2020-01-01,ELT,Social,53516
2020-01-01,ELT,(Other),53596
2020-01-01,ELT,Display,54192
2020-01-01,ELT,Referral,62778
2020-01-01,ELT,Paid Search,68327
2020-01-01,ELT,Organic Search,212156
2020-02-01,GEN,Email,50003
2020-02-01,GEN,Direct,262420
2020-02-01,GEN,Social,52239
2020-02-01,GEN,(Other),54715
2020-02-01,GEN,Display,51587
2020-02-01,GEN,Referral,55239
2020-02-01,GEN,Paid Search,68334
2020-02-01,GEN,Organic Search,147791
2020-02-01,GEN,All Organic Search,174478
2020-02-01,ELT,Email,50003
2020-02-01,ELT,Direct,303762
2020-02-01,ELT,Social,53602
2020-02-01,ELT,(Other),54045
2020-02-01,ELT,Display,52268
2020-02-01,ELT,Referral,61035
2020-02-01,ELT,Paid Search,63868
2020-02-01,ELT,Organic Search,188352
2020-02-01,ELT,All Organic Search,198466
2020-03-01,GEN,Email,50003
2020-03-01,GEN,Direct,272365
2020-03-01,GEN,Social,52002
2020-03-01,GEN,(Other),55407
2020-03-01,GEN,Display,51264
2020-03-01,GEN,Referral,53116
2020-03-01,GEN,Paid Search,65683
2020-03-01,GEN,Organic Search,142541
2020-03-01,GEN,All Organic Search,148468
2020-03-01,ELT,Email,50003
2020-03-01,ELT,Direct,301521
2020-03-01,ELT,Social,52572
2020-03-01,ELT,(Other),54757
2020-03-01,ELT,Display,51390
2020-03-01,ELT,Referral,54153
2020-03-01,ELT,Paid Search,60888
2020-03-01,ELT,Organic Search,171248
2020-03-01,ELT,All Organic Search,163725
2020-04-01,GEN,Email,50003
2020-04-01,GEN,Direct,277400
2020-04-01,GEN,(Other),78620
2020-04-01,GEN,Display,50984
2020-04-01,GEN,Referral,52410
2020-04-01,GEN,Paid Search,60778
2020-04-01,GEN,Organic Search,231572
2020-04-01,GEN,All Organic Search,54022
2020-04-01,ELT,Email,50004
2020-04-01,ELT,Direct,307277
2020-04-01,ELT,(Other),78764
2020-04-01,ELT,Display,51029
2020-04-01,ELT,Referral,53148
